scores,states
"[0, 0.02321, 0, 0, 0, 0, 0]",120102010020000001000000000000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",120102010020002001000100000000000000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",120102010020002001000100000020000001000000
"[0, 0, 0, 0.0119, 0, 0, 0]",120102012020002101000100000020000001000000
"[0, 0.0119, 0, 0, 0, 0, 0]",120102012020002101000110200020000001000000
"[0, 0, -1, 0, 0, 0, 0]",120102012020002101000110200022000001100000
"[0.01726, 0, 0, 0.0119, 0, 0, 0]",122100020110001002000000000000000000000000
"[0, 0, 0, 0, 0, 0.02321, 0]",122100021110001002000200000000000000000000
"[0, 0.02321, 0, 0, 0, 0, 0]",122100021110001002000200000020000001000000
"[0, 0, 0, 0, 0.01785, 0, 0]",122100021110001212000200000020000001000000
"[0, -1, -1, 0, 0, 0, 0]",122120021110001212000201000020000001000000
"[0.0119, 0, 0, 0, 0, 0, 0]",112120210020001001000200000000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",112120211020001001000200000020000000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",112120211020001101000200000020000002000000
"[0, 0.0119, 0, 0, 0, 0, 0]",112120211020001101000220100020000002000000
"[0, -1, 0, 0, 0, 0, 0]",112120211020001101000220100022010002000000
"[0.0119, 0, 0, 0, 0, 0, 0]",100120220011000002000000100000020000001000
"[0, 0, 0, 0, 0, 0.0119, 0]",110120220011002002000000100000020000001000
"[0, 0, 0, 0, 0, 0, 0.0119]",110122220011102002000000100000020000001000
"[0, 0, 0, 0, 0.0119, 0, 0]",110122220011122002100000100000020000001000
"[0.0119, 0, 0, 0, 0, 0, 0]",110122220011122002110000120000020000001000
"[0.0119, 0, 0, 0, 0, 0, 0]",110122220011122002110200120010020000001000
"[0, -1, 0, 0, 0, 0, 0]",110122220011122002110200121010020002001000
"[-1, -1, -1, 0.10506, -1, -1, -1]",020100200010000001000000000000000000000000
"[0, 0.04154, 0, 0, 0, 0, 0]",022102001110000102000000000000000000000000
"[0, 0, 0, 0.01785, 0, 0, 0]",100122000010200001000000000000000000000000
"[0.02235, 0.04417, 0.05603, 0.08789, 0.01726, 0, 0.06855]",120100200010000001000000200000000000000000
"[0, 0.02321, 0, 0, 0, 0, 0.02235]",120100220010001001000000200000000000000000
"[0.03395, 0, 0, 0, 0, 0, 0]",120100220010001001000200200010000000000000
"[0, 0.03395, 0, 0, 0, 0, 0]",120100221010001001000200200010000002000000
"[0, 0, 0, 0, 0, 0, 0.03395]",120100221010001201000210200010000002000000
"[0, 0, 0, 0.0119, 0, 0, 0]",120100221010021201000210200010010002000000
"[0, 0.01785, 0, 0, 0, 0, 0]",120100221010021201000210200012010002001000
